key,num,lab,king,author,year,title,journal,volume,pages,booktitle,editor,school,doi,url,pdf,abstract
"Ionides2015","44","","yes","E. L. Ionides, D. Nguyen, Y. Atchad&eacute;, S. Stoev, and A. A. King","2015","Inference for dynamic and latent variable models via iterated, perturbed Bayes maps","Proceedings of the National Academy of Sciences of the U.S.A.","112","719-724",,,,"http://dx.doi.org/10.1073/pnas.1410597112",,":Ionides2015.pdf:PDF","Iterated filtering algorithms are stochastic optimization procedures for latent variable models that recursively combine parameter perturbations with latent variable reconstruction. Previously, theoretical support for these algorithms has been based on the use of conditional moments of perturbed parameters to approximate derivatives of the log likelihood function. Here, a theoretical approach is introduced based on the convergence of an iterated Bayes map. An algorithm supported by this theory displays substantial numerical improvement on the computational challenge of inferring parameters of a partially observed Markov process."
"Kendall1999","","","","B. E. Kendall, C. J. Briggs, W. W. Murdoch, P. Turchin, S. P. Ellner, E. McCauley, R. M. Nisbet, and S. N. Wood","1999","Why do populations cycle? A synthesis of statistical and mechanistic modeling approaches","Ecology","80","1789-1805",,,,,,"Kendall1999.pdf:Kendall1999.pdf:PDF","Population cycles have long fascinated ecologists. Even in the most-studied populations, however, scientists continue to dispute the relative importance of various potential causes of the cycles, Over the past three decades, theoretical ecologists have cataloged a large number of mechanisms that are capable of generating cycles in population models. At the same time, statisticians have developed new techniques both for characterizing time series and for fitting population models to time-series data. Both disciplines are now sufficiently advanced that great gains in understanding can be made by synthesizing these complementary, and heretofore mostly independent, quantitative approaches. In this paper we demonstrate how to apply this synthesis to the problem of population cycles, using both long-term population time series and the often-rich observational and experimental data on the ecology of the species in question. We quantify hypotheses by writing mathematical models that embody the interactions and forces that might cause cycles. Some hypotheses can be rejected out of hand, as being unable to generate even qualitatively appropriate dynamics, We finish quantifying the remaining hypotheses by estimating parameters, both from independent experiments and from fitting the models to the time-series data using modern statistical techniques, Finally, we compare simulated time series generated by the models to the observed time series, using a variety of statistical descriptors, which we refer to collectively as \"probes.\" The model most similar to the data, as measured by these probes, is considered to be the most likely candidate to represent the mechanism underlying the population cycles. We illustrate this approach by analyzing one of Nicholson's blowfly populations, in which we know the \"true\" governing mechanism. Our analysis, which uses only a subset of the information available about the population, uncovers the correct answer, suggesting that this synthetic approach might be successfully applied to field populations as well."
"Kendall2005","","","","B. E. Kendall, S. P. Ellner, E. McCauley, S. N. Wood, C. J. Briggs, W. M. Murdoch, and P. Turchin","2005","Population cycles in the pine looper moth: Dynamical tests of mechanistic hypotheses","Ecological Monographs","75","259-276",,,,,,"Kendall2005.pdf:Kendall2005.pdf:PDF","The forest insect pest Bupalus piniarius (pine looper moth) is a classic example of a natural population cycle. As is typical for Populations that exhibit regular oscillations in density, there are several biological mechanisms that are hypothesized to be responsible for the cycles; but despite several decades of detailed study there has been no definite conclusion as to which mechanism is most important. We evaluated three hypotheses for which there was direct experimental evidence: (1) food quality (nutritional value of pine needles affected by defoliation); (2) parasitoids (trophic interactions with specialist parasitoids), and (3) maternal effects (maternal body size affects the performance of offspring). We reviewed the empirical evidence for each of these hypotheses and expressed each hypothesis in the form of a mechanistic dynamic model. We used a nonlinear forecasting approach to fit each model to three long-term Population time series in Britain that exhibit some degree of regular cycling, and we used parametric bootstrap to evaluate the significance of differences between models in their goodness of fit to the data. The results differed among the three forests: at Culbin, the parasitoid and maternal effects models fit equally well; at Roseisle, the food quality and maternal effects models fit equally well; and at Tentsmuir, the parasitoid model fit best. However, the best-fit parasitism models required that the parasitism rate vary between nearly 0 and nearly 1 during a cycle, greatly exceeding the range of parasitism rates that have been observed in the field. In contrast, the required variation in the observable maternal quality variable (pupal mass) was within the range of empirical observations. Under mild constraints on the parasitism rate (though allowing a much wider range than has been measured in B. piniarius at any location), the fit of the parasitism model fell off dramatically. The maternal effects model then had uniformly strong support, outperforming the constrained parasitism model at all three sites and the food quality model at two; it performed slightly better than the food quality model at the remaining site. This represents the first system in which the maternal effects hypothesis for population cycles has been supported by both strong biological and dynamical evidence."
"King2015","45","yes","yes","A. A. King, M. Domenech de Cell&egrave;s, F. M. G. Magpantay, and P. Rohani","2015","Avoidable errors in the modelling of outbreaks of emerging pathogens, with special reference to Ebola","Proceedings of the Royal Society of London. Series B","282","20150347",,,,"http://dx.doi.org/10.1098/rspb.2015.0347",,"King2015.pdf:King2015.pdf:PDF;:King2015_Supp.pdf:PDF","As an emergent infectious disease outbreak unfolds, public health response is reliant on information on key epidemiological quantities, such as transmission potential and serial interval. Increasingly, transmission models fit to incidence data are used to estimate these parameters and guide policy. Some widely used modelling practices lead to potentially large errors in parameter estimates and, consequently, errors in model-based forecasts. Even more worryingly, in such situations, confidence in parameter estimates and forecasts can itself be far overestimated, leading to the potential for large errors that mask their own presence. Fortunately, straightforward and computationally inexpensive alternatives exist that avoid these problems. Here, we first use a simulation study to demonstrate potential pitfalls of the standard practice of fitting deterministic models to cumulative incidence data. Next, we demonstrate an alternative based on stochastic models fit to raw data from an early phase of 2014 West Africa Ebola virus disease outbreak. We show not only that bias is thereby reduced, but that uncertainty in estimates and forecasts is better quantified and that, critically, lack of model fit is more readily diagnosed. We conclude with a short list of principles to guide the modelling response to future infectious disease outbreaks."
"King2008","","","","A. A. King, E. L. Ionides, M. Pascual, and M. J. Bouma","2008","Inapparent infections and cholera dynamics","Nature","454","877-880",,,,"http://dx.doi.org/10.1038/nature07084",,"King2008.pdf:King2008.pdf:PDF;King2008_Supplement.pdf:King2008_Supplement.pdf:PDF","In many infectious diseases, an unknown fraction of infections produce symptoms mild enough to go unrecorded, a fact that can seriously compromise the interpretation of epidemiological records. This is true for cholera, a pandemic bacterial disease, where estimates of the ratio of asymptomatic to symptomatic infections have ranged from 3 to 100. In the absence of direct evidence, understanding of fundamental aspects of cholera transmission, immunology and control has been based on assumptions about this ratio and about the immunological consequences of inapparent infections. Here we show that a model incorporating high asymptomatic ratio and rapidly waning immunity, with infection both from human and environmental sources, explains 50 yr of mortality data from 26 districts of Bengal, the pathogen's endemic home. We find that the asymptomatic ratio in cholera is far higher than had been previously supposed and that the immunity derived from mild infections wanes much more rapidly than earlier analyses have indicated. We find, too, that the environmental reservoir (free-living pathogen) is directly responsible for relatively few infections but that it may be critical to the disease's endemicity. Our results demonstrate that inapparent infections can hold the key to interpreting the patterns of disease outbreaks. New statistical methods, which allow rigorous maximum likelihood inference based on dynamical models incorporating multiple sources and outcomes of infection, seasonality, process noise, hidden variables and measurement error, make it possible to test more precise hypotheses and obtain unexpected results. Our experience suggests that the confrontation of time-series data with mechanistic models is likely to revise our understanding of the ecology of many infectious diseases."
"Knape2011","","","","J. Knape and P. de Valpine","2011","Fitting complex population models by combining particle filters with Markov chain Monte Carlo","Ecology","93","256-263","Ecology",,,"http://dx.doi.org/10.1890/11-0797.1",,":Knape2011.pdf:PDF","We show how a recent framework combining Markov chain Monte Carlo (MCMC) with particle filters (PFMCMC) may be used to estimate population state-space models. With the purpose of utilizing the strengths of each method, PFMCMC explores hidden states by particle filters, while process and observation parameters are estimated using an MCMC algorithm. PFMCMC is exemplified by analyzing time series data on a red kangaroo (Macropus rufus) population in New South Wales, Australia, using MCMC over model parameters based on an adaptive Metropolis-Hastings algorithm. We fit three population models to these data; a density-dependent logistic diffusion model with environmental variance, an unregulated stochastic exponential growth model, and a random-walk model. Bayes factors and posterior model probabilities show that there is little support for density dependence and that the random-walk model is the most parsimonious model. The particle filter Metropolis-Hastings algorithm is a brute-force method that may be used to fit a range of complex population models. Implementation is straightforward and less involved than standard MCMC for many models, and marginal densities for model selection can be obtained with little additional effort. The cost is mainly computational, resulting in long running times that may be improved by parallelizing the algorithm."
"Reuman2006","","","","D. C. Reuman, R. A. Desharnais, R. F. Costantino, O. S. Ahmad, and J. E. Cohen","2006","Power spectra reveal the influence of stochasticity on nonlinear population dynamics","Proceedings of the National Academy of Sciences of the U.S.A.","103","18860-18865 ",,,,,,,
"Smith1993","","","","A. A. Smith","1993","Estimating nonlinear time-series models using simulated vector autoregression","Journal of Applied Econometrics","8","S63-S84",,,,,,,
"Toni2010","","","","T. Toni and M. P. H. Stumpf","2010","Simulation-based model selection for dynamical systems in systems and population biology","Bioinformatics","26","104-110",,,,"http://dx.doi.org/10.1093/bioinformatics/btp619",,":Toni2010.pdf:PDF","Motivation: Computer simulations have become an important tool across the biomedical sciences and beyond. For many important problems several different models or hypotheses exist and choosing which one best describes reality or observed data is not straightforward. We therefore require suitable statistical tools that allow us to choose rationally between different mechanistic models of, e.g. signal transduction or gene regulation networks. This is particularly challenging in systems biology where only a small number of molecular species can be assayed at any given time and all measurements are subject to measurement uncertainty.Results: Here, we develop such a model selection framework based on approximate Bayesian computation and employing sequential Monte Carlo sampling. We show that our approach can be applied across a wide range of biological scenarios, and we illustrate its use on real data describing influenza dynamics and the JAK-STAT signalling pathway. Bayesian model selection strikes a balance between the complexity of the simulation models and their ability to describe observed data. The present approach enables us to employ the whole formal apparatus to any system that can be (efficiently) simulated, even when exact likelihoods are computationally intractable.Contact: ttoni@imperial.ac.uk; m.stumpf@imperial.ac.ukSupplementary information: Supplementary data are available at Bioinformatics online."
"Toni2009a","","","","T. Toni, D. Welch, N. Strelkowa, A. Ipsen, and M. P. H. Stumpf","2009","Approximate Bayesian computation scheme for parameter inference and model selection in dynamical systems","Journal of the Royal Society, Interface","6","187-202",,,,"http://dx.doi.org/10.1098/​rsif.2008.0172",,"Toni2009a.pdf:Toni2009a.pdf:PDF","Approximate Bayesian computation (ABC) methods can be used to evaluate posterior distributions without having to calculate likelihoods. In this paper, we discuss and apply an ABC method based on sequential Monte Carlo (SMC) to estimate parameters of dynamical models. We show that ABC SMC provides information about the inferability of parameters and model sensitivity to changes in parameters, and tends to perform better than other ABC approaches. The algorithm is applied to several well-known biological systems, for which parameters and their credible intervals are inferred. Moreover, we develop ABC SMC as a tool for model selection; given a range of different mathematical descriptions, ABC SMC is able to choose the best model using the standard Bayesian model selection apparatus."
"Wood2010","","","","S. N. Wood","2010","Statistical inference for noisy nonlinear ecological dynamic systems","Nature","466","1102-1104",,,,"http://dx.doi.org/10.1038/nature09319",,"Wood2010.pdf:Wood2010.pdf:PDF;Wood2010_Supplement.pdf:Wood2010_Supplement.pdf:PDF",
